,userID,count,mean,std,min,25%,50%,75%,max
238,1356,2.0,1356.0,0.0,1356.0,1356.0,1356.0,1356.0,1356.0
239,1359,1.0,1359.0,,1359.0,1359.0,1359.0,1359.0,1359.0
240,1364,49.0,1364.0,0.0,1364.0,1364.0,1364.0,1364.0,1364.0
241,1366,228.0,1366.0,0.0,1366.0,1366.0,1366.0,1366.0,1366.0
242,1367,4.0,1367.0,0.0,1367.0,1367.0,1367.0,1367.0,1367.0
243,1374,7.0,1374.0,0.0,1374.0,1374.0,1374.0,1374.0,1374.0
244,1384,25.0,1384.0,0.0,1384.0,1384.0,1384.0,1384.0,1384.0
245,1394,1.0,1394.0,,1394.0,1394.0,1394.0,1394.0,1394.0
246,1395,36.0,1395.0,0.0,1395.0,1395.0,1395.0,1395.0,1395.0
247,1397,6.0,1397.0,0.0,1397.0,1397.0,1397.0,1397.0,1397.0
248,1408,6.0,1408.0,0.0,1408.0,1408.0,1408.0,1408.0,1408.0
249,1410,10.0,1410.0,0.0,1410.0,1410.0,1410.0,1410.0,1410.0
250,1453,11.0,1453.0,0.0,1453.0,1453.0,1453.0,1453.0,1453.0
251,1458,8.0,1458.0,0.0,1458.0,1458.0,1458.0,1458.0,1458.0
252,1470,326.0,1470.0,0.0,1470.0,1470.0,1470.0,1470.0,1470.0
253,1471,3.0,1471.0,0.0,1471.0,1471.0,1471.0,1471.0,1471.0
254,1473,33.0,1473.0,0.0,1473.0,1473.0,1473.0,1473.0,1473.0
255,1481,34.0,1481.0,0.0,1481.0,1481.0,1481.0,1481.0,1481.0
256,1499,5.0,1499.0,0.0,1499.0,1499.0,1499.0,1499.0,1499.0
257,1509,17.0,1509.0,0.0,1509.0,1509.0,1509.0,1509.0,1509.0
258,1524,102.0,1524.0,0.0,1524.0,1524.0,1524.0,1524.0,1524.0
259,1525,5.0,1525.0,0.0,1525.0,1525.0,1525.0,1525.0,1525.0
260,1526,34.0,1526.0,0.0,1526.0,1526.0,1526.0,1526.0,1526.0
261,1534,122.0,1534.0,0.0,1534.0,1534.0,1534.0,1534.0,1534.0
262,1539,21.0,1539.0,0.0,1539.0,1539.0,1539.0,1539.0,1539.0
263,1546,1.0,1546.0,,1546.0,1546.0,1546.0,1546.0,1546.0
264,1564,86.0,1564.0,0.0,1564.0,1564.0,1564.0,1564.0,1564.0
265,1573,6.0,1573.0,0.0,1573.0,1573.0,1573.0,1573.0,1573.0
266,1604,1.0,1604.0,,1604.0,1604.0,1604.0,1604.0,1604.0
267,1606,6.0,1606.0,0.0,1606.0,1606.0,1606.0,1606.0,1606.0
268,1616,2.0,1616.0,0.0,1616.0,1616.0,1616.0,1616.0,1616.0
269,1626,22.0,1626.0,0.0,1626.0,1626.0,1626.0,1626.0,1626.0
270,1649,9.0,1649.0,0.0,1649.0,1649.0,1649.0,1649.0,1649.0
271,1667,2.0,1667.0,0.0,1667.0,1667.0,1667.0,1667.0,1667.0
272,1712,9.0,1712.0,0.0,1712.0,1712.0,1712.0,1712.0,1712.0
273,1718,1.0,1718.0,,1718.0,1718.0,1718.0,1718.0,1718.0
274,1725,1.0,1725.0,,1725.0,1725.0,1725.0,1725.0,1725.0
275,1726,37.0,1726.0,0.0,1726.0,1726.0,1726.0,1726.0,1726.0
276,1727,7.0,1727.0,0.0,1727.0,1727.0,1727.0,1727.0,1727.0
277,1746,259.0,1746.0,0.0,1746.0,1746.0,1746.0,1746.0,1746.0
278,1752,6.0,1752.0,0.0,1752.0,1752.0,1752.0,1752.0,1752.0
279,1754,4.0,1754.0,0.0,1754.0,1754.0,1754.0,1754.0,1754.0
280,1792,3.0,1792.0,0.0,1792.0,1792.0,1792.0,1792.0,1792.0
281,1797,2.0,1797.0,0.0,1797.0,1797.0,1797.0,1797.0,1797.0
282,1816,4.0,1816.0,0.0,1816.0,1816.0,1816.0,1816.0,1816.0
283,1820,10.0,1820.0,0.0,1820.0,1820.0,1820.0,1820.0,1820.0
284,1826,12.0,1826.0,0.0,1826.0,1826.0,1826.0,1826.0,1826.0
285,1828,3.0,1828.0,0.0,1828.0,1828.0,1828.0,1828.0,1828.0
286,1864,65.0,1864.0,0.0,1864.0,1864.0,1864.0,1864.0,1864.0
287,1902,3.0,1902.0,0.0,1902.0,1902.0,1902.0,1902.0,1902.0
288,1912,176.0,1912.0,0.0,1912.0,1912.0,1912.0,1912.0,1912.0
289,1915,6.0,1915.0,0.0,1915.0,1915.0,1915.0,1915.0,1915.0
290,1920,152.0,1920.0,0.0,1920.0,1920.0,1920.0,1920.0,1920.0
291,1938,29.0,1938.0,0.0,1938.0,1938.0,1938.0,1938.0,1938.0
292,1943,26.0,1943.0,0.0,1943.0,1943.0,1943.0,1943.0,1943.0
293,1953,16.0,1953.0,0.0,1953.0,1953.0,1953.0,1953.0,1953.0
294,1957,49.0,1957.0,0.0,1957.0,1957.0,1957.0,1957.0,1957.0
295,1991,5.0,1991.0,0.0,1991.0,1991.0,1991.0,1991.0,1991.0
296,2038,4.0,2038.0,0.0,2038.0,2038.0,2038.0,2038.0,2038.0
297,2069,22.0,2069.0,0.0,2069.0,2069.0,2069.0,2069.0,2069.0
298,2087,30.0,2087.0,0.0,2087.0,2087.0,2087.0,2087.0,2087.0
299,2149,43.0,2149.0,0.0,2149.0,2149.0,2149.0,2149.0,2149.0
300,2155,10.0,2155.0,0.0,2155.0,2155.0,2155.0,2155.0,2155.0
301,2170,185.0,2170.0,0.0,2170.0,2170.0,2170.0,2170.0,2170.0
302,2183,5.0,2183.0,0.0,2183.0,2183.0,2183.0,2183.0,2183.0
303,2192,10.0,2192.0,0.0,2192.0,2192.0,2192.0,2192.0,2192.0
304,2213,8.0,2213.0,0.0,2213.0,2213.0,2213.0,2213.0,2213.0
305,2238,6.0,2238.0,0.0,2238.0,2238.0,2238.0,2238.0,2238.0
306,2243,5.0,2243.0,0.0,2243.0,2243.0,2243.0,2243.0,2243.0
307,2244,21.0,2244.0,0.0,2244.0,2244.0,2244.0,2244.0,2244.0
308,2247,3.0,2247.0,0.0,2247.0,2247.0,2247.0,2247.0,2247.0
309,2259,2.0,2259.0,0.0,2259.0,2259.0,2259.0,2259.0,2259.0
310,2275,1.0,2275.0,,2275.0,2275.0,2275.0,2275.0,2275.0
311,2284,3.0,2284.0,0.0,2284.0,2284.0,2284.0,2284.0,2284.0
312,2290,49.0,2290.0,0.0,2290.0,2290.0,2290.0,2290.0,2290.0
313,2291,5.0,2291.0,0.0,2291.0,2291.0,2291.0,2291.0,2291.0
314,2354,7.0,2354.0,0.0,2354.0,2354.0,2354.0,2354.0,2354.0
315,2404,8.0,2404.0,0.0,2404.0,2404.0,2404.0,2404.0,2404.0
316,2461,123.0,2461.0,0.0,2461.0,2461.0,2461.0,2461.0,2461.0
317,2507,1.0,2507.0,,2507.0,2507.0,2507.0,2507.0,2507.0
318,2557,3.0,2557.0,0.0,2557.0,2557.0,2557.0,2557.0,2557.0
319,2563,3.0,2563.0,0.0,2563.0,2563.0,2563.0,2563.0,2563.0
320,2607,3.0,2607.0,0.0,2607.0,2607.0,2607.0,2607.0,2607.0
321,2611,2.0,2611.0,0.0,2611.0,2611.0,2611.0,2611.0,2611.0
322,2678,4.0,2678.0,0.0,2678.0,2678.0,2678.0,2678.0,2678.0
323,2737,9.0,2737.0,0.0,2737.0,2737.0,2737.0,2737.0,2737.0
324,2743,43.0,2743.0,0.0,2743.0,2743.0,2743.0,2743.0,2743.0
325,2814,1.0,2814.0,,2814.0,2814.0,2814.0,2814.0,2814.0
326,2898,21.0,2898.0,0.0,2898.0,2898.0,2898.0,2898.0,2898.0
327,2906,2.0,2906.0,0.0,2906.0,2906.0,2906.0,2906.0,2906.0
328,2945,6.0,2945.0,0.0,2945.0,2945.0,2945.0,2945.0,2945.0
329,2950,64.0,2950.0,0.0,2950.0,2950.0,2950.0,2950.0,2950.0
330,2961,69.0,2961.0,0.0,2961.0,2961.0,2961.0,2961.0,2961.0
331,2972,25.0,2972.0,0.0,2972.0,2972.0,2972.0,2972.0,2972.0
332,3014,1.0,3014.0,,3014.0,3014.0,3014.0,3014.0,3014.0
333,3020,1.0,3020.0,,3020.0,3020.0,3020.0,3020.0,3020.0
334,3034,30.0,3034.0,0.0,3034.0,3034.0,3034.0,3034.0,3034.0
335,3038,1.0,3038.0,,3038.0,3038.0,3038.0,3038.0,3038.0
336,3111,7.0,3111.0,0.0,3111.0,3111.0,3111.0,3111.0,3111.0
337,3119,5.0,3119.0,0.0,3119.0,3119.0,3119.0,3119.0,3119.0
338,3123,46.0,3123.0,0.0,3123.0,3123.0,3123.0,3123.0,3123.0
339,3143,7.0,3143.0,0.0,3143.0,3143.0,3143.0,3143.0,3143.0
340,3159,4.0,3159.0,0.0,3159.0,3159.0,3159.0,3159.0,3159.0
341,3176,14.0,3176.0,0.0,3176.0,3176.0,3176.0,3176.0,3176.0
342,3222,1.0,3222.0,,3222.0,3222.0,3222.0,3222.0,3222.0
343,3233,2.0,3233.0,0.0,3233.0,3233.0,3233.0,3233.0,3233.0
