,userID,userID,userID,userID,userID,userID,userID,userID,kWhRequested,kWhRequested,kWhRequested,kWhRequested,kWhRequested,kWhRequested,kWhRequested,kWhRequested
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
userID,,,,,,,,,,,,,,,,
1083,183.0,1083.0,0.0,1083.0,1083.0,1083.0,1083.0,1083.0,183.0,7.663934426229508,1.4259794536632946,2.5,7.5,8.0,8.0,12.0
1085,64.0,1085.0,0.0,1085.0,1085.0,1085.0,1085.0,1085.0,64.0,25.778437499999995,11.227819364354394,2.92,17.515,26.89,31.04,56.6
1086,13.0,1086.0,0.0,1086.0,1086.0,1086.0,1086.0,1086.0,13.0,48.24615384615385,28.03309399574651,8.0,24.0,40.0,75.2,75.2
1087,55.0,1087.0,0.0,1087.0,1087.0,1087.0,1087.0,1087.0,55.0,26.472727272727273,9.156771518743096,8.0,20.0,20.0,32.0,40.0
1089,13.0,1089.0,0.0,1089.0,1089.0,1089.0,1089.0,1089.0,13.0,7.6923076923076925,1.1094003924504585,4.0,8.0,8.0,8.0,8.0
1090,16.0,1090.0,0.0,1090.0,1090.0,1090.0,1090.0,1090.0,16.0,19.5,2.0,12.0,20.0,20.0,20.0,20.0
1091,57.0,1091.0,0.0,1091.0,1091.0,1091.0,1091.0,1091.0,57.0,9.270087719298246,1.1207803767385511,3.33,9.0,9.0,9.99,10.125
1092,32.0,1092.0,0.0,1092.0,1092.0,1092.0,1092.0,1092.0,32.0,22.6065625,7.83928840145131,6.0,18.0,24.0,25.185,48.0
1093,76.0,1093.0,0.0,1093.0,1093.0,1093.0,1093.0,1093.0,76.0,10.696973684210521,3.784522169657825,6.0,6.66,9.99,12.0,18.0
1094,12.0,1094.0,0.0,1094.0,1094.0,1094.0,1094.0,1094.0,12.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0
1095,271.0,1095.0,0.0,1095.0,1095.0,1095.0,1095.0,1095.0,271.0,13.146125461254618,2.889666539607474,4.0,12.0,14.07,14.25,16.0
1097,22.0,1097.0,0.0,1097.0,1097.0,1097.0,1097.0,1097.0,22.0,12.0,0.0,12.0,12.0,12.0,12.0,12.0
